2026-05-26 15:09:28,872 - INFO - Scan success | 扫描成功: https://iamclient-pingfed.bnpparibas-pf.com -> https://iamclient-pingfed.bnpparibas-pf.com/
2026-05-26 15:09:29,046 - WARNING - Scan failed | 扫描失败: https://url_initiale, error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://url_initiale/
Call log:
  - navigating to "https://url_initiale/", waiting until "networkidle"
, retry 3
2026-05-26 15:09:29,324 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:29,852 - INFO - Scan success | 扫描成功: https://iamclient-pingfed.staging.bnpparibas-pf.com -> https://iamclient-pingfed.staging.bnpparibas-pf.com/
2026-05-26 15:09:30,039 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:30,433 - INFO - Scan success | 扫描成功: https://console.pingone.eu -> https://console.pingone.eu/login-error.html
2026-05-26 15:09:31,263 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:31,507 - INFO - Scan success | 扫描成功: https://iamclient-pingfedde.staging.bnpparibas-pf.com -> https://iamclient-pingfedde.staging.bnpparibas-pf.com/
2026-05-26 15:09:32,681 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:32,932 - INFO - Scan success | 扫描成功: https://iamclient-ptfed.bnpparibas-pf.com -> https://iamclient-ptfed.bnpparibas-pf.com/
2026-05-26 15:09:33,139 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:33,242 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:33,417 - INFO - Scan success | 扫描成功: https://iamclientpingfedes.staging.bnpparibas-pf.com -> https://iamclientpingfedes.staging.bnpparibas-pf.com/
2026-05-26 15:09:33,504 - INFO - Scan success | 扫描成功: https://iamclient-pingfed-de-ppd.bnpparibas-pf.com -> https://iamclient-pingfed-de-ppd.bnpparibas-pf.com/
2026-05-26 15:09:33,582 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:33,792 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:33,833 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:34,048 - INFO - Scan success | 扫描成功: https://iamclient-pingfedit.staging.bnpparibas-pf.com -> https://iamclient-pingfedit.staging.bnpparibas-pf.com/
2026-05-26 15:09:34,208 - INFO - Scan success | 扫描成功: https://iamclient-pingfed-ppd.bnpparibas-pf.com -> https://iamclient-pingfed-ppd.bnpparibas-pf.com/
2026-05-26 15:09:34,248 - INFO - Scan success | 扫描成功: https://iampart-fedde.bnpparibas-pf.com -> https://iampart-fedde.bnpparibas-pf.com/
2026-05-26 15:09:34,697 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:34,708 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
